NOME_DA_ESTACAO,MUNICIPIO,LATITUDE,LONGITUDE
Itapissuma ,Itapissuma ,-7.8003,-34.9058
Itaquitinga ,Itaquitinga ,-7.6597,-35.1014
Jaboatao dos Guararapes (Curado II) ,Jaboatao dos Guararapes ,-8.08,-34.997
Jaboatao dos Guararapes ,Jaboatao dos Guararapes ,-8.1636,-34.9228
Jaboatao dos Guararapes (Bar.Duas Unas) ,Jaboatao dos Guararapes ,-8.0922,-35.0386
Jaqueira ,Jaqueira ,-8.7306,-35.7953
Jatauba ,Jatauba ,-7.9819,-36.4953
Jatoba ,Jatoba ,-9.1797,-38.2658
Joao Alfredo ,Joao Alfredo ,-7.8539,-35.5886
Joaquim Nabuco ,Joaquim Nabuco ,-8.4945,-35.490528
Jucati ,Jucati ,-8.7067,-36.4928
Jupi ,Jupi ,-8.7125,-36.4167
Jurema ,Jurema ,-8.7181,-36.1369
Lagoa de Itaenga (Barragem de Carpina) ,Lagoa de Itaenga ,-7.8967,-35.3333
Lagoa do Carro ,Lagoa do Carro ,-7.8422,-35.3114
Lagoa do Ouro ,Lagoa do Ouro ,-9.1267,-36.4986
Lagoa dos Gatos ,Lagoa dos Gatos ,-8.6567,-35.905
Lagoa Grande ,Lagoa Grande ,-8.9833,-40.2833
Lajedo ,Lajedo ,-8.6556,-36.3178
Limoeiro ,Limoeiro ,-7.8658,-35.4347
Macaparana ,Macaparana ,-7.5522,-35.4497
Machados ,Machados ,-7.6875,-35.5131
Manari ,Manari ,-8.9619,-37.6261
Maraial ,Jaqueira ,-8.8,-35.8333
Mirandiba (Acude Serrinha) ,Serra Talhada ,-8.2397,-38.5283
Moreilandia ,Moreilandia ,-7.6075,-39.55
Moreno ,Moreno ,-8.1122,-35.1003
Nazare da Mata ,Nazare da Mata ,-7.75417,-35.233056
Olinda ,Olinda ,-7.9989,-34.8589
Olinda (Academia Santa Gertrudes) ,Olinda ,-8.0125,-34.8522
Olinda (Alto da Bondade) ,Olinda ,-7.9919,-34.9058
Orobo ,Orobo ,-7.7372,-35.6069
Oroco ,Oroco ,-8.6183,-39.6031
Ouricuri ,Ouricuri ,-7.8861,-40.0881
Ouricuri - PCD ,Ouricuri ,-7.8792,-40.0917
Palmares ,Palmares ,-8.67861,-35.576944
Palmeirina ,Palmeirina ,-9.00431,-36.329889
Panelas ,Panelas ,-8.6633,-36.0078
Paranatama ,Paranatama ,-8.9192,-36.6583
Parnamirim ,Parnamirim ,-8.0889,-39.5775
Passira ,Passira ,-7.9761,-35.5836
Paudalho ,Paudalho ,-7.89417,-35.173333
Paudalho (Barragem de Goita) ,Paudalho ,-7.9686,-35.1158
Paulista ,Paulista ,-7.9425,-34.8844
Pedra (Sao Pedro do Cordeiro) ,Pedra ,-8.8625,-36.9428
Pesqueira ,Pesqueira ,-8.3531,-36.6972
Petrolandia ,Petrolandia ,-8.9742,-38.2164
Petrolina ,Petrolina ,-9.3992,-40.5175
Petrolina (INMET) ,Petrolina ,-9.38333,-40.4833
Petrolina - PCD ,Petrolina ,-9.3386,-40.6886
Pocao ,Pocao ,-8.1836,-36.7053
Pombos ,Pombos ,-8.1386,-35.3961
Primavera ,Primavera ,-8.3483,-35.3475
Quipapa ,Quipapa ,-8.8275,-36.0125
Quixaba ,Quixaba ,-7.7406,-37.8586
Recife (Alto da Brasileira) ,Recife ,-8.0014,-34.9353
Recife (Codecipe / Santo Amaro) ,Recife ,-8.0442,-34.8747
Recife (Varzea) ,Recife ,-8.039,-34.959
Riacho das Almas ,Riacho das Almas ,-8.1381,-35.8592
Ribeirao ,Ribeirao ,-8.4675,-35.401389
Ribeirao (Fazenda Capri) ,Ribeirao ,-8.51,-35.3769
Rio Formoso (Usina Cucau) ,Rio Formoso ,-8.6397,-35.2683
Saire ,Saire ,-8.3267,-35.7089
Salgadinho ,Salgadinho ,-7.9167,-35.6667
Salgueiro ,Salgueiro ,-8.0733,-39.1297
Salgueiro - PCD ,Salgueiro ,-8.0792,-39.2292
Saloa ,Saloa ,-8.9694,-36.6917
Sanharo ,Sanharo ,-8.3639,-36.5664
Santa Cruz da Baixa Verde ,Santa Cruz da Baixa Verde ,-7.8203,-38.1511
Santa Cruz ,Santa Cruz ,-8.2406,-40.3369
Santa Cruz do Capibaribe ,Santa Cruz do Capibaribe ,-7.9333,-36.3333
Santa Filomena ,Santa Filomena ,-8.1594,-40.6133
Santa Maria da Boa Vista ,Santa Maria da Boa Vista ,-8.8,-39.82
Santa Maria da Boa Vista (CHESF) ,Santa Maria da Boa Vista ,-8.8,-39.8167
Santa Maria da Boa Vista - PCD ,Santa Maria da Boa Vista ,-8.7875,-39.8317
Santa Maria do Cambuca ,Santa Maria do Cambuca ,-7.8381,-35.8811
Santa Terezinha ,Santa Terezinha ,-7.3792,-37.4833
Sao Benedito do Sul ,Sao Benedito do Sul ,-8.81603,-35.933806
Sao Bento do Una (IPA) ,Sao Bento do Una ,-8.5272,-36.4594
Sao Bento do Una - PCD ,Sao Bento do Una ,-8.5281,-36.46
Sao Caetano ,Sao Caetano ,-8.3283,-36.1375
Sao Joao ,Sao Joao ,-8.8769,-36.3667
Sao Joaquim do Monte ,Sao Joaquim do Monte ,-8.4328,-35.8133
Sao Jose da Coroa Grande ,Sao Jose da Coroa Grande ,-8.8958,-35.1497
Sao Jose do Belmonte ,Sao Jose do Belmonte ,-7.8639,-38.7619
Sao Jose do Egito (Faz. Muquen) ,Sao Jose do Egito ,-7.444,-37.2806
Sao Jose do Egito (CHESF) ,Sao Jose do Egito ,-7.4667,-37.2833
Sao Jose do Egito - PCD ,Sao Jose do Egito ,-7.4444,-37.2803
Sao Lourenco da Mata - PCD (Tapacura) ,Sao Lourenco da Mata ,-8.0333,-35.1667
Sao Vicente Ferrer ,Sao Vicente Ferrer ,-7.5875,-35.4889
Serra Talhada ,Serra Talhada ,-7.92,-38.29
Serra Talhada (Acude Cachoeira) ,Serra Talhada ,-7.9769,-38.3217
Serra Talhada (IPA) ,Serra Talhada ,-7.9306,-38.2889
Serra Talhada (CHESF) ,Serra Talhada ,-8,-38.3
Serrita ,Serrita ,-7.9447,-39.2931
Serrita (Ipueira) ,Serrita ,-7.8472,-39.46
Serrita (Santa Rosa) ,Serrita ,-7.8197,-39.1486
Sertania ,Sertania ,-8.06,-37.22
Sertania - PCD ,Sertania ,-8.0644,-37.2239
Sirinhaem ,Sirinhaem ,-8.6194,-35.1194
Solidao ,Solidao ,-7.6003,-37.6581
Surubim ,Surubim ,-7.8167,-35.75
Tabira ,Tabira ,-7.5883,-37.5369
Tacaimbo ,Tacaimbo ,-8.3133,-36.2928
Tacaratu (Sitio Gameleira) ,Tacaratu ,-9.1058,-38.1461
Tamandare ,Tamandare ,-8.7656,-35.3142
Taquaritinga do Norte ,Taquaritinga do Norte ,-7.9047,-36.0383
Terezinha ,Terezinha ,-9.0569,-36.6239
Terra Nova ,Terra Nova ,-8.2272,-39.3772
Timbauba ,Timbauba ,-7.5144,-35.3058
Toritama ,Toritama ,-8.0106,-36.0564
Tracunhaem ,Tracunhaem ,-7.8036,-35.2647
Trindade ,Trindade ,-7.7597,-40.2761
Triunfo ,Triunfo ,-7.8372,-38.1061
Tupanatinga ,Tupanatinga ,-8.7547,-37.3422
Tuparetama ,Tuparetama ,-7.6,-37.3117
Tuparetama (Fazenda Riacho) ,Sao Jose do Egito ,-7.6867,-37.2214
Venturosa ,Venturosa ,-8.5747,-36.8806
Verdejante ,Verdejante ,-7.9286,-38.9694
Vertente do Lerio ,Vertente do Lerio ,-7.775,-35.8497
Vertentes (IPA) ,Vertentes ,-7.8833,-35.9458
Vertentes - PCD ,Vertentes ,-7.9047,-35.9739
Vicencia ,Vicencia ,-7.65056,-35.320556
Vitoria de Santo Antao (IPA) ,Vitoria de Santo Antao ,-8.1283,-35.3028
Vitoria de Santo Antao - PCD ,Vitoria de Santo Antao ,-8.1286,-35.3028
Xexeu (Usina Bom Mirar) ,Xexeu ,-8.8383,-35.6347
